id	modified	bibliographicCitation	references	datasetID	institutionCode	collectionCode	basisOfRecord	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	sex	lifeStage	preparations	otherCatalogNumbers	associatedOccurrences	eventID	samplingProtocol	samplingEffort	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	fieldNumber	continent	country	stateProvince	county	locality	minimumElevationInMeters	maximumElevationInMeters	verbatimDepth	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	footprintWKT	georeferenceRemarks	identifiedBy	dateIdentified	typeStatus	scientificNameID	scientificName	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	scientificNameAuthorship
913596	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			913596	MarBEF/MacroBEN_913596				3.0						70-4_B	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:146503	Aricidea jeffreysi										(McIntosh, 1879)
913595	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			913595	MarBEF/MacroBEN_913595				5.0						70-4_B	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:138802	Arctica islandica										(Linnaeus, 1767)
913594	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			913594	MarBEF/MacroBEN_913594				6.0						70-4_B	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:129776	Ampharete baltica										Eliason, 1955
913593	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			913593	MarBEF/MacroBEN_913593				9.0						70-4_B	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:141433	Abra alba										(Wood W., 1802)
913592	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			913592	MarBEF/MacroBEN_913592				8.0						70-4_AZ	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:146420	Tunicata										
913591	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			913591	MarBEF/MacroBEN_913591				6.0						70-4_AZ	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:183466	Terebellides stroemi										
913590	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			913590	MarBEF/MacroBEN_913590				6.0						70-4_AZ	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:178212	Polydora caulleryi										
913589	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			913589	MarBEF/MacroBEN_913589				4.0						70-4_AZ	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:130603	Pholoe minuta										(Fabricius, 1780)
913588	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			913588	MarBEF/MacroBEN_913588				6.0						70-4_AZ	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:2036	Oligochaeta										
914110	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			914110	MarBEF/MacroBEN_914110				1.0						70-4_O	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:130735	Bylgides sarsi										(Kinberg in Malmgren, 1865)
914111	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			914111	MarBEF/MacroBEN_914111				1.0						70-4_O	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:138999	Cerastoderma glaucum										(Poiret, 1789)
914112	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			914112	MarBEF/MacroBEN_914112				4.0						70-4_O	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:139410	Corbula gibba										(Olivi, 1792)
914113	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			914113	MarBEF/MacroBEN_914113				54.0						70-4_O	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:110487	Diastylis rathkei										(Krøyer, 1841)
914114	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			914114	MarBEF/MacroBEN_914114				1.0						70-4_O	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:100730	Edwardsia										de Quatrefages, 1842
914115	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			914115	MarBEF/MacroBEN_914115				2.0						70-4_O	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:130906	Euchone papillosa										(M. Sars, 1851)
913471	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			913471	MarBEF/MacroBEN_913471				1.0						70-4_AS	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:2036	Oligochaeta										
913472	2015-08-24 15:31:25			IMIS:dasid:618	UniKiel FB	KielBay70	Occurrence			913472	MarBEF/MacroBEN_913472				1.0						70-4_AS	Van Veen - sieve mesh size: 1 mm	0,1 m²					1995	5	29		Baltic Sea				Kiel Bay, station 014				23	23	54.38142013549805	10.394379615783691							urn:lsid:marinespecies.org:taxname:124940	Ophiura texturata										de Lamarck, 1816
